sys_id,name,country,account_manager
f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,DE,Noah Haddad
83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,AU,Tomas Mbeki
ce3300b4caaaf62ddd78c3dedadfb109,SummitSphere Group,US,Ingrid Costa
8c41a557600365aa7bc513782896a263,Standard Logic Group,DE,Diego Novak
07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,US,Sofia Reyes
f208c8facc721ba79d13bbf71ecd812d,CedarMetric Holdings,US,Yara Rossi
c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,DE,Mei Mbeki
874a5c683d9e65802834d8efd421bf1b,VertexSystems LLC,BR,Lucia Moreau
fab7996e78f934032eb8996d74e70e35,Helios Sphere Solutions,UK,Nadia Rossi
b7e399658fa006aea56043e59f0b0e41,CrownByte Partners,AU,Ravi Kim
043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,UK,Ravi Moreau
9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,US,Sean Khan
9ed176fe5e9e71f3ba5872b9354c44ba,SableCloud Corp,US,Chen Tanaka
7f147cc3c1aac5aed8aaf8dbf84e5f5d,NovaCore Technologies,AU,Tomas Nguyen
2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,IN,Sean Nguyen
f4289227ffe416344948b78edca04fc7,EmeraldAnalytics Solutions,SG,Aisha Kim
c8e543956b050e4b28e9a83a0e27644e,BrightFabric Solutions,AU,Elena Larsson
8f9d67b55f1e43ca81fac159d8c4bbfe,AuroraVector Systems,AU,Hana Rossi
9d1ef92b33165ed9d5b09704e1d33f9f,SterlingLink Partners,SG,Aisha Tanaka
63b767f0a169c631b063f25b80277f22,CopperFabric Group,US,Faisal Kim
d5f72c297a1e312720c7e8ffbf99e6ec,HarborLoop Global,UK,Liam Larsson
7f142c165abcb146f135b5cdff464480,EmeraldCloud Solutions,BR,Diego Okafor
6640f9392d1607e1dc5a74a12cbda421,Standard Micro Inc,UK,Priya Walsh
c214c828b5012b1bc9206a2f1623e245,GraniteSoft Group,US,Sofia Mbeki
41551649f8514bf0a07f2b42a32275e6,CrownCore Co,SG,Yara Larsson
b9920c250a2a0f085fcc2b0d874dc46a,TitanWorks Corp,DE,Yara Haddad
45d1d110d31d9a4dcfcb293195cfba6d,PacificWave Corp,UK,Chen Moreau
fb486c28d4754bf6b3b0267a948b64e5,PacificWave Group,IN,Lucia Reyes
d21d701442b4ec6cd44547db7bcc5f18,TitanSphere Holdings,UK,Ingrid Mbeki
e885cb8f302519ae97564b4bcfa72215,CascadeDynamics Solutions,BR,Liam Walsh
ca3bf1c4bf1f44639cc1684753ad052f,SableAnalytics Solutions,AU,Lucia Rossi
e97713171f17dbb855b2efea8da397ac,MapleLink Solutions,BR,Liam Moreau
8330b14f88b2674f9b499145deee6cc5,LarkWave Inc,US,Yara Rossi
17983b398bcb85a3bd4d94c654af2c08,CrownVision LLC,BR,Diego Patel
6ce1ddc9b5c3b1ade29c2661afc1c366,SilverMetric Industries,SG,Lucia Larsson
caa0679dab06572b5f3f804dc7f984f2,IronCore Co,BR,Elena Nguyen
8a14f546ef72dacdad363020c95e005d,GraniteLabs Co,BR,Diego Duarte
1f6f12f6e26518f05cd17284194430a5,VanguardSignal Corp,SG,Yara Okafor
784e6c12e9249983285e69162e3eda3a,Helios Labs LLC,BR,Ravi Khan
cb80db161146cdf0ced6cb80ad72380c,CedarStream Systems,BR,Mei Moreau
928168c79f2ca28ae9a981e881fb3994,OnyxPulse Holdings,US,Liam Moreau
9115e05645363d2c4cf042c4e9af331f,TitanVector Partners,AU,Elena Haddad
18022bbd7958248839acfd4371289c21,MapleLogic Industries,AU,Aisha Walsh
a178933c65a9009c34033c624b730039,PioneerLabs Solutions,AU,Noah Nguyen
d0b29f11cd7dd3a9158f0d13c153649d,CrownFabric Systems,US,Sean Kim
15fe306e9482b816c7accede3513265a,QuantumVision Group,US,Faisal Patel
2fd6f800ee1089199730e6602416af75,CedarTech Solutions,AU,Lucia Costa
79aea6125a77c6e27e102e9e29a54d2e,RidgeSphere LLC,AU,Liam Patel
a22401521d0e959ef25985a8b8e1ca53,GraniteWave Industries,BR,Sofia Reyes
f35137faf6d370772c96f6fdc6e12fd7,KeystoneWorks Co,BR,Tomas Larsson
6c922505e514426e3a4a0663ccdc5f1c,AtlasFabric LLC,IN,Sean Mbeki
a73210f8368ed6177bcd6639a1bd910a,PioneerCore Global,BR,Aisha Rossi
e09f89c0e00fca2ddccd5f2bc65dc6be,NovaTech Co,AU,Priya Okafor
fe5d85f21cfff63e66cd42e1cbda939d,AtlasFabric Technologies,DE,Nadia Patel
882a62f73a2e354f2fbc5f8d3d5c2b07,PioneerGrid Solutions,AU,Yara Patel
6c8e183f8b98b95fdd0511d6af18de6f,BrightCloud Inc,US,Omar Rossi
61ae3ee25ef6abb4359ae041287cc7a7,CobaltStream Co,BR,Kwame Novak
8d67221d46c33b635792dbe69267200a,RidgeStream Partners,US,Kwame Rossi
b64944f1de14d6bfc9991f0ea3aaab03,BeaconVector LLC,SG,Elena Moreau
955d4b1b4a091520940da3d4cc508467,NorthPulse Group,US,Elena Okafor
2df9ba0f1852ac01a541eafe797fe774,QuantumStream Systems,AU,Faisal Reyes
0cd73a0643593b2482c813882cea2d07,VertexFabric Systems,US,Priya Larsson
c5f40d0c9e85256e8d50002fd236b530,GraniteVision Group,DE,Ingrid Kim
ef294d8311d6290229275facedc0ebe7,RidgeMicro Systems,SG,Liam Khan
e95fab299a15f19b6037495f8034486f,BrightVision Industries,US,Mei Khan
f1729aa0a7c4fbc9f7389260f7227cd5,ApexMetric Technologies,AU,Priya Tanaka
eed76d873633026840c99da52d584e9e,IronPulse Group,IN,Aisha Moreau
eddc807c7bf8bee4128bb03ecb0cf954,BlueLogic Inc,AU,Yara Nguyen
6b7042c9151a5899d0e5bd15d377e942,IronSoft Industries,AU,Yara Tanaka
2d2090b8001e29bc0c61379e5c0a7afc,NovaMetric Technologies,AU,Kwame Silva
9298d422775c596c4587a766661d46a0,QuantumVector LLC,UK,Noah Kim
20e1e6ae4d52bb20221a66930b9aa0d1,SterlingLink Holdings,DE,Tomas Moreau
01684d39c35574e92bb662ad0f598d88,MeridianNexus Co,AU,Elena Walsh
ef14e0e3698895a7b4d7065d9afed6a8,UnionTech LLC,DE,Elena Rossi
636600a25bca08268d47ad0482476bc6,EmeraldWorks Holdings,SG,Hana Walsh
fb25891dcef3472d468e805b067a779f,GraniteMetric Group,IN,Sofia Silva
1ac948f1ebb1eecad7f1c6379182edbb,BlueStream Global,UK,Priya Costa
3c77067a83abf21bfd68dfc1ea2adcb3,RidgeStream Solutions,DE,Yara Walsh
a4b1cf1ac025115e9d53899dacdfc23c,AuroraMetric LLC,IN,Yara Moreau
33fe1ad718dcd389bfc4a57db83c1862,OrchardVision Solutions,AU,Sofia Walsh
c83857de210e8aabe84612c85cc60b6d,BrightSphere Systems,UK,Aisha Costa
daf0afd2f0db8d498aa8ae22d52939b1,BluePulse Inc,AU,Sean Walsh
89c11516794b16f88f4e6d2f2ceb998d,GraniteByte Industries,SG,Mei Moreau
4bf9cd4904280a0f8f8abc71b295e30d,HarborNetworks Solutions,BR,Diego Okafor
