sys_id,company_sys_id,company_name,state,priority,category,short_description,opened_at,resolved_at,assignment_group,reopen_count
39d7ecba31088ae16d870ea8625afc14,f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,Open,Critical,Network,User unable to reset password,2026-07-15 03:00:00,,DBA,2
32898ecb80eb7d46bcb912d4c225cc0c,f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,Open,High,Access,SSO login errors after password reset,2026-05-29 05:00:00,,SecOps,1
32ed7635f305394bd50303d92fb2f832,f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,Open,Moderate,Network,Email notifications delayed,2026-05-04 00:00:00,,Network-Ops,0
a88ad553ff0e3dce89033b487489e837,f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,Closed,Low,Hardware,VPN latency spikes for remote users,2026-04-10 00:00:00,2026-05-03 00:00:00,SecOps,2
506f2b8ece5d66711fdb9ba8764e1c7e,f489995774e4a7221b5a4ec4a1f409f9,Helios Fabric Co,Closed,Low,Performance,Batch export job failing intermittently,2025-06-06 00:00:00,2025-06-24 00:00:00,L1-Support,1
e2dfa8b69bd7871e991ec42e1447beb6,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Open,Critical,Hardware,Email notifications delayed,2026-04-26 12:00:00,,L1-Support,1
a11b0d4febdbf78dcabae0aad69e4ac8,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Open,High,Access,Latency in real-time event stream,2026-05-28 11:00:00,,L2-Support,2
d07243c2900502c165d6813789f3f04b,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Open,Critical,Software,Bulk import rejected invalid rows,2026-04-09 07:00:00,,L2-Support,2
1eb7193289faee8a845ad16fc3c2ff0d,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Open,High,Security,User unable to reset password,2026-04-23 19:00:00,,SecOps,1
2362a9e09645681bf76d68bbeb35feda,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Open,Moderate,Software,File upload times out over 50MB,2026-04-20 00:00:00,,DBA,0
993d849b43c6e72d2aa759fc34f454b8,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Closed,High,Software,Data discrepancy between source and warehouse,2026-03-31 00:00:00,2026-04-04 00:00:00,L2-Support,2
182b17d9f810efb9dce6d72388749415,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Closed,Low,Database,Search returns stale results,2026-01-06 00:00:00,2026-01-12 00:00:00,DBA,0
c4de4c40298f72a3bfa1773b13254035,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Closed,Critical,Software,Latency in real-time event stream,2025-12-17 00:00:00,2025-12-31 00:00:00,L2-Support,0
ad9f2c28aeaa17109332b285272db0e1,83c3b293635a78a58a0f87f48c5ce33f,PioneerSignal Partners,Closed,High,Access,Webhook deliveries failing with 500 errors,2025-08-19 00:00:00,2025-09-06 00:00:00,Network-Ops,0
37fc3500ff2e32da9374227cfa6fb6bb,ce3300b4caaaf62ddd78c3dedadfb109,SummitSphere Group,Open,Critical,Access,Batch export job failing intermittently,2026-03-30 15:00:00,,L1-Support,1
1330816e3ab41841fa731a1c24949bea,ce3300b4caaaf62ddd78c3dedadfb109,SummitSphere Group,Open,High,Software,Backup job did not complete overnight,2026-06-08 20:00:00,,SecOps,0
71484f81a48d9cd24dfbae2c8b75bb95,ce3300b4caaaf62ddd78c3dedadfb109,SummitSphere Group,Closed,Critical,Database,Search returns stale results,2025-05-31 00:00:00,2025-06-23 00:00:00,L2-Support,0
eddf5780d319f54dc2bab4c3e766e149,ce3300b4caaaf62ddd78c3dedadfb109,SummitSphere Group,Closed,Moderate,Database,Dashboard fails to load for some users,2025-07-28 00:00:00,2025-08-11 00:00:00,SecOps,0
494b9adde43a8b83c451aaefe3c99913,8c41a557600365aa7bc513782896a263,Standard Logic Group,Open,Critical,Network,Database connection pool exhausted,2026-05-22 18:00:00,,Network-Ops,0
9cb334ab5b2a598f8e764b86ff19a355,8c41a557600365aa7bc513782896a263,Standard Logic Group,Open,High,Access,Batch export job failing intermittently,2026-05-17 12:00:00,,SecOps,2
d58f6e4c2986014607f7d568f7c161fc,8c41a557600365aa7bc513782896a263,Standard Logic Group,Open,Critical,Performance,Scheduled report not delivered,2026-06-27 12:00:00,,L2-Support,1
9a8053c34bcf1d1056b39d1c68b22187,8c41a557600365aa7bc513782896a263,Standard Logic Group,Open,High,Software,API rate-limit errors on data sync,2026-04-14 00:00:00,,DBA,1
74cdf43d3f84e0ff89678c23aa7653e4,8c41a557600365aa7bc513782896a263,Standard Logic Group,Closed,High,Performance,Data discrepancy between source and warehouse,2025-11-03 00:00:00,2025-11-20 00:00:00,L2-Support,2
890981bdfa996427730ba6719eca3ae4,8c41a557600365aa7bc513782896a263,Standard Logic Group,Closed,Low,Hardware,Mobile app crashes on startup,2025-12-22 00:00:00,2026-01-09 00:00:00,DBA,1
6cad7f1c9a77efe6aba8cd3983496d17,8c41a557600365aa7bc513782896a263,Standard Logic Group,Closed,Low,Software,Dashboard fails to load for some users,2026-02-08 00:00:00,2026-02-16 00:00:00,L1-Support,1
abb5e2afc46fb85087cdc9347a41d8d6,8c41a557600365aa7bc513782896a263,Standard Logic Group,Closed,Low,Security,Integration connector disconnected,2025-12-11 00:00:00,2025-12-13 00:00:00,DBA,1
4b6fb6a52cd398431bf909963497373d,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Open,Critical,Network,Two-factor codes not being received,2026-04-06 11:00:00,,SecOps,0
1291bdda10816d1d2dbce0288681768d,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Open,High,Network,Export to CSV missing columns,2026-05-07 07:00:00,,SecOps,1
e7baf99735f6506f55bbb1f2527bacb4,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Open,Moderate,Performance,Backup job did not complete overnight,2026-03-19 00:00:00,,DBA,2
ab5b9e5a7d1f38f7ea2a0032294478a5,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Open,Low,Database,Certificate expired on internal endpoint,2026-04-24 00:00:00,,DBA,1
82c2077a54adc8368554fb1141a3c4c3,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Closed,Low,Database,Email notifications delayed,2025-07-17 00:00:00,2025-07-28 00:00:00,Network-Ops,2
61856e8cd148af8f5e7358e278a1319d,07ac25a2ea202aeedcfbd7c5cfb2285e,GraniteCompute Technologies,Closed,High,Network,SSO login errors after password reset,2025-08-06 00:00:00,2025-08-14 00:00:00,L1-Support,1
195822f0a522da1c6658f4fb430e35f6,f208c8facc721ba79d13bbf71ecd812d,CedarMetric Holdings,Open,Moderate,Database,Search returns stale results,2026-06-03 00:00:00,,SecOps,2
f06826be68c72f5450334a96355964a1,f208c8facc721ba79d13bbf71ecd812d,CedarMetric Holdings,Closed,High,Network,Search returns stale results,2025-10-14 00:00:00,2025-10-16 00:00:00,DBA,1
e17bf5c75fdef8668465b7a4d62ba992,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Open,Low,Security,Mobile app crashes on startup,2026-04-02 00:00:00,,L1-Support,0
05f8a1ad5e070d6ae6f21fcb2b95130c,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Open,Low,Database,Integration connector disconnected,2026-05-08 00:00:00,,Network-Ops,1
ef4117b1120ccf10d7cc65e66c0e43d4,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Closed,High,Security,Scheduled report not delivered,2026-05-07 00:00:00,2026-05-14 00:00:00,L2-Support,1
06a3f594697b90e8611c8e4f232ccc2c,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Closed,Low,Performance,Dashboard fails to load for some users,2025-11-24 00:00:00,2025-12-03 00:00:00,Network-Ops,1
56fa5e9144290edf8d2fad36600413a4,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Closed,Low,Software,Batch export job failing intermittently,2026-02-01 00:00:00,2026-02-24 00:00:00,SecOps,0
39b9f6cbc6defb13d06a208c18f60f16,c3782c76483f6c6283a5716529ceb505,Standard Pulse Solutions,Closed,Low,Software,Webhook deliveries failing with 500 errors,2026-06-13 00:00:00,2026-06-24 00:00:00,DBA,0
e205b305653c97c422aec8e5e4078ffc,874a5c683d9e65802834d8efd421bf1b,VertexSystems LLC,Open,Low,Security,User unable to reset password,2026-04-06 00:00:00,,SecOps,2
8b66ce80dc4bf833a9e692499429ac88,874a5c683d9e65802834d8efd421bf1b,VertexSystems LLC,Open,Low,Database,Bulk import rejected invalid rows,2026-06-05 00:00:00,,DBA,0
495a6aa6f63ed19b62ca6b1b1644adbb,874a5c683d9e65802834d8efd421bf1b,VertexSystems LLC,Closed,Moderate,Software,Permission denied on shared folder,2026-03-11 00:00:00,2026-03-13 00:00:00,SecOps,2
e403365f5702f15fb47ac07cdaec312e,874a5c683d9e65802834d8efd421bf1b,VertexSystems LLC,Closed,Critical,Access,Backup job did not complete overnight,2026-01-07 00:00:00,2026-01-30 00:00:00,L1-Support,1
0ad6e8023911968b662101390e626de5,fab7996e78f934032eb8996d74e70e35,Helios Sphere Solutions,Open,Moderate,Software,Database connection pool exhausted,2026-06-26 00:00:00,,Network-Ops,2
d42d9b1f867736c19d9bc3c27dfa5c86,fab7996e78f934032eb8996d74e70e35,Helios Sphere Solutions,Open,Low,Software,Mobile app crashes on startup,2026-06-27 00:00:00,,Network-Ops,0
8e69c4ce9bb334635ba6fb85e8c1dee9,fab7996e78f934032eb8996d74e70e35,Helios Sphere Solutions,Closed,High,Software,Search returns stale results,2026-05-20 00:00:00,2026-06-12 00:00:00,L2-Support,1
248d74b5301078956d786c2726cedc31,b7e399658fa006aea56043e59f0b0e41,CrownByte Partners,Open,Low,Software,Webhook deliveries failing with 500 errors,2026-04-24 00:00:00,,DBA,1
d5a7e80a778891ad76441ec41c7ed2c3,043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,Open,Critical,Software,Backup job did not complete overnight,2026-06-11 23:00:00,,L2-Support,2
06e2d5b6d3fe34b815df665eb8ed9caa,043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,Open,High,Performance,Dashboard fails to load for some users,2026-07-08 07:00:00,,SecOps,0
e2c43814c555a425aa9815a5fb01a220,043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,Open,Moderate,Network,Data discrepancy between source and warehouse,2026-03-21 00:00:00,,SecOps,0
e9790ce65ff112697ade34c44360d95e,043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,Closed,Low,Database,Integration connector disconnected,2025-08-15 00:00:00,2025-09-08 00:00:00,Network-Ops,0
657aad6d1b1dc4071c70fbf3707a5f7a,043d680ad30061f5a3d2b029b986466b,CedarStream Solutions,Closed,High,Security,Data discrepancy between source and warehouse,2025-06-21 00:00:00,2025-07-13 00:00:00,SecOps,2
b3f50ea6182773551787c84a5e1a2be4,9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,Open,Low,Database,Search returns stale results,2026-06-18 00:00:00,,L2-Support,0
d6ef2538cd772280f05e017a9c7d0acc,9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,Open,Low,Hardware,Backup job did not complete overnight,2026-06-12 00:00:00,,L2-Support,2
7f3d6f4193365e7918c286bcca842501,9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,Closed,Critical,Security,Mobile app crashes on startup,2025-11-27 00:00:00,2025-12-21 00:00:00,L1-Support,0
e6556d348b598075244c532e0f86b81c,9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,Closed,Critical,Access,Dashboard fails to load for some users,2026-04-07 00:00:00,2026-04-28 00:00:00,DBA,0
6474320acd406703e3fd85919b8bf284,9df3d9559b058812283f26050b2cb9b3,BrightNetworks Holdings,Closed,Moderate,Database,Database connection pool exhausted,2025-12-08 00:00:00,2025-12-28 00:00:00,SecOps,1
d7936937ebc3130acaca058ad2cab991,7f147cc3c1aac5aed8aaf8dbf84e5f5d,NovaCore Technologies,Closed,Moderate,Software,Latency in real-time event stream,2025-11-20 00:00:00,2025-12-14 00:00:00,L2-Support,0
761689f7d569944b2ccc9c83e0c0e678,2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,Open,Low,Database,License activation not recognized,2026-05-18 00:00:00,,Network-Ops,1
fdf3445a7b0bcf125dd72e2f8b3f8fdd,2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,Open,Low,Software,Dashboard fails to load for some users,2026-05-18 00:00:00,,Network-Ops,2
767230f3872210d48914375ab68f44ca,2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,Closed,Critical,Software,Email notifications delayed,2025-12-21 00:00:00,2025-12-23 00:00:00,L1-Support,2
dc3bcdaedcbaae90cca4ff92cd8988fc,2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,Closed,Low,Access,SSO login errors after password reset,2026-04-23 00:00:00,2026-04-27 00:00:00,L1-Support,0
7f4347cba06c1f39c18e4d9c2f06ac84,2764d687319fd4c20278f7cba2876911,CobaltLabs Corp,Closed,Critical,Performance,Integration connector disconnected,2025-06-30 00:00:00,2025-07-19 00:00:00,L1-Support,0
8eda4b223402329af8c616c2eb77f5c7,f4289227ffe416344948b78edca04fc7,EmeraldAnalytics Solutions,Open,Low,Access,Email notifications delayed,2026-05-08 00:00:00,,L1-Support,1
