ACCOUNT_SK,CRM_ACCOUNT_ID,ACCOUNT_NAME,ACTIVE_SEATS,PLAN_CODE,MONTHLY_JOBS_L90,REGION_CODE
7000000,001000000000000000,Helios Fabric Co,30,SMB-B,30,APAC
7000007,001000000000000001,PioneerSignal Partners,7,TRIAL,21,APAC
7000014,001000000000000002,SummitSphere Group,3,SMB-A,30,NA-West
7000021,001000000000000003,Standard Logic Group,10,SMB-A,16,NA-East
7000028,001000000000000004,GraniteCompute Technologies,33,SMB-A,30,LATAM
7000035,001000000000000005,CedarMetric Holdings,22,SMB-B,116,NA-East
7000042,001000000000000006,Standard Pulse Solutions,338,SMB-B,6,NA-West
7000049,001000000000000007,VertexSystems LLC,196,ENT-A,22,NA-West
7000056,001000000000000008,Helios Sphere Solutions,423,ENT-A,320,NA-West
7000063,001000000000000009,CrownByte Partners,34,ENT-B,101,NA-West
7000070,001000000000000010,CedarStream Solutions,8,SMB-A,26,NA-West
7000077,001000000000000011,BrightNetworks Holdings,573,SMB-A,19,APAC
7000084,001000000000000012,SableCloud Corp,100,ENT-A,118,NA-West
7000091,001000000000000013,NovaCore Technologies,35,SMB-B,28,LATAM
7000098,001000000000000014,CobaltLabs Corp,16,SMB-A,23,NA-West
7000105,001000000000000015,EmeraldAnalytics Solutions,560,SMB-B,255,EMEA
7000112,001000000000000016,BrightFabric Solutions,127,ENT-B,98,NA-East
7000119,001000000000000017,AuroraVector Systems,180,ENT-B,142,NA-West
7000126,001000000000000018,SterlingLink Partners,494,ENT-A,40,NA-East
7000133,001000000000000019,CopperFabric Group,235,SMB-A,240,APAC
7000140,001000000000000020,HarborLoop Global,525,SMB-B,127,LATAM
7000147,001000000000000021,EmeraldCloud Solutions,30,ENT-A,124,LATAM
7000154,001000000000000022,Standard Micro Inc,310,SMB-B,100,NA-West
7000161,001000000000000023,GraniteSoft Group,237,SMB-B,30,LATAM
7000168,001000000000000024,CrownCore Co,38,TRIAL,63,EMEA
7000175,001000000000000025,TitanWorks Corp,308,SMB-A,240,NA-West
7000182,001000000000000026,PacificWave Corp,28,ENT-A,79,EMEA
7000189,001000000000000027,PacificWave Group,26,ENT-A,37,EMEA
7000196,001000000000000028,TitanSphere Holdings,529,SMB-B,95,EMEA
7000203,001000000000000029,CascadeDynamics Solutions,31,SMB-A,291,APAC
7000210,001000000000000030,SableAnalytics Solutions,208,SMB-B,351,NA-East
