EVENT_SK,ACCOUNT_SK,EVENT_TYPE,SESSION_COUNT,FEATURE_FLAG,EVENT_TIMESTAMP,INGESTED_AT,APP_VERSION,REGION_CODE
0,7000000,login,82,A,2026-02-27 15:09:00,2026-02-27 15:34:00,v5.0,NA-West
1,7000000,dashboard_view,37,B,2026-04-05 08:52:00,2026-04-05 08:56:00,v4.0,EMEA
2,7000000,export,131,B,2026-04-19 11:34:00,2026-04-19 11:42:00,v4.8,APAC
3,7000000,export,42,control,2026-06-24 13:09:00,2026-06-24 13:15:00,v3.7,EMEA
4,7000000,api_call,197,B,2026-02-08 02:05:00,2026-02-08 02:34:00,v4.6,APAC
5,7000000,job_run,22,B,2026-01-24 15:48:00,2026-01-24 16:08:00,v5.8,NA-East
6,7000000,job_run,209,control,2026-03-27 05:34:00,2026-03-27 05:53:00,v5.1,APAC
7,7000000,login,213,control,2026-04-25 01:12:00,2026-04-25 01:32:00,v4.0,NA-West
8,7000000,job_run,187,control,2026-01-06 21:21:00,2026-01-06 21:47:00,v4.3,EMEA
9,7000000,export,84,A,2026-06-17 00:04:00,2026-06-17 00:15:00,v5.6,LATAM
10,7000000,login,95,A,2026-05-02 00:57:00,2026-05-02 01:09:00,v3.4,NA-West
11,7000000,export,122,B,2026-04-28 16:30:00,2026-04-28 16:40:00,v5.0,LATAM
12,7000000,login,79,B,2026-05-28 12:29:00,2026-05-28 12:39:00,v4.7,NA-West
13,7000000,export,45,B,2025-12-04 23:05:00,2025-12-04 23:34:00,v3.4,EMEA
14,7000000,login,27,control,2026-06-08 11:02:00,2026-06-08 11:04:00,v5.0,LATAM
15,7000000,dashboard_view,92,A,2026-03-17 07:43:00,2026-03-17 07:50:00,v3.6,NA-East
16,7000000,api_call,7,B,2026-06-10 23:35:00,2026-06-10 23:57:00,v3.5,LATAM
17,7000000,job_run,212,B,2025-12-28 08:49:00,2025-12-28 08:57:00,v4.3,EMEA
18,7000000,export,206,B,2026-04-19 21:34:00,2026-04-19 21:53:00,v5.1,EMEA
19,7000000,api_call,184,B,2026-03-11 22:34:00,2026-03-11 22:47:00,v5.7,APAC
20,7000007,login,171,control,2025-12-29 10:20:00,2025-12-29 10:28:00,v4.0,NA-West
21,7000007,login,37,B,2026-01-05 09:13:00,2026-01-05 09:33:00,v3.0,EMEA
22,7000007,api_call,55,control,2026-01-31 13:23:00,2026-01-31 13:27:00,v4.6,NA-West
23,7000007,api_call,82,A,2026-02-25 05:47:00,2026-02-25 06:13:00,v4.2,NA-West
24,7000007,export,29,control,2026-06-22 19:24:00,2026-06-22 19:42:00,v5.1,NA-East
25,7000007,dashboard_view,195,B,2026-01-12 12:27:00,2026-01-12 12:36:00,v4.5,EMEA
26,7000007,api_call,193,control,2026-06-20 07:33:00,2026-06-20 07:52:00,v5.3,EMEA
27,7000007,export,160,B,2026-06-07 18:57:00,2026-06-07 19:10:00,v3.7,NA-West
28,7000007,api_call,116,A,2025-12-13 13:37:00,2025-12-13 14:06:00,v4.2,APAC
29,7000007,login,96,B,2026-07-14 17:44:00,2026-07-14 17:46:00,v5.5,EMEA
30,7000007,dashboard_view,98,A,2025-11-20 17:04:00,2025-11-20 17:22:00,v4.0,LATAM
31,7000007,login,203,control,2026-06-11 12:59:00,2026-06-11 13:25:00,v5.0,APAC
32,7000007,job_run,84,control,2026-03-01 11:15:00,2026-03-01 11:39:00,v5.4,NA-East
33,7000007,job_run,126,A,2026-04-29 20:31:00,2026-04-29 20:54:00,v5.0,NA-West
34,7000007,export,130,control,2026-04-27 05:12:00,2026-04-27 05:39:00,v3.6,EMEA
35,7000007,export,53,B,2026-04-18 00:44:00,2026-04-18 01:08:00,v5.3,LATAM
36,7000007,api_call,29,control,2025-12-05 19:00:00,2025-12-05 19:10:00,v3.6,LATAM
37,7000007,job_run,26,A,2026-02-05 23:05:00,2026-02-05 23:34:00,v5.8,NA-West
38,7000007,login,126,B,2025-12-02 19:42:00,2025-12-02 19:46:00,v5.8,NA-East
39,7000007,export,101,A,2026-06-25 18:56:00,2026-06-25 19:21:00,v3.7,LATAM
40,7000007,job_run,218,control,2026-01-10 07:22:00,2026-01-10 07:50:00,v4.4,APAC
41,7000007,export,21,A,2026-07-14 23:40:00,2026-07-15 00:00:00,v5.0,APAC
42,7000007,export,7,B,2026-05-13 23:04:00,2026-05-13 23:17:00,v5.8,NA-West
43,7000007,dashboard_view,165,A,2026-07-09 06:27:00,2026-07-09 06:54:00,v4.5,LATAM
44,7000007,api_call,98,A,2026-05-22 08:17:00,2026-05-22 08:34:00,v3.1,LATAM
45,7000014,export,91,control,2026-01-15 12:17:00,2026-01-15 12:26:00,v4.7,NA-West
